# name	source	id
# ===== the mathematics skeleton: Wikidata alignments (second witness beside Claude's review). Names qualified where the word is everyday.
algebraic-structure	wikidata	Q205464	# algebraic structure
algebraic-magma	wikidata	Q679903	# magma
semigroup	wikidata	Q207348	# semigroup
monoid	wikidata	Q208237	# monoid
mathematical-group	wikidata	Q83478	# group
abelian-group	wikidata	Q181296	# abelian group
cyclic-group	wikidata	Q245462	# cyclic group
finite-group	wikidata	Q1057968	# finite group
mathematical-ring	wikidata	Q161172	# ring
commutative-ring	wikidata	Q858656	# commutative ring
integral-domain	wikidata	Q628792	# integral domain
division-ring	wikidata	Q650741	# division ring
mathematical-field	wikidata	Q190109	# field
finite-field	wikidata	Q603880	# finite field
mathematical-module	wikidata	Q18848	# module
vector-space	wikidata	Q125977	# vector space
algebra-over-a-field	wikidata	Q1000660	# algebra over a field
lie-algebra	wikidata	Q664495	# Lie algebra
boolean-algebra	wikidata	Q4973304	# Boolean algebra
mathematical-lattice	wikidata	Q1096885	# lattice
semilattice	wikidata	Q834585	# semilattice
quasigroup	wikidata	Q1503423	# quasigroup
partially-ordered-set	wikidata	Q474715	# partially ordered set
totally-ordered-set	wikidata	Q3054922	# totally ordered set
number	wikidata	Q11563	# number
integer	wikidata	Q12503	# integer
rational-number	wikidata	Q1244890	# rational number
real-number	wikidata	Q12916	# real number
complex-number	wikidata	Q11567	# complex number
irrational-number	wikidata	Q607728	# irrational number
algebraic-number	wikidata	Q168817	# algebraic number
transcendental-number	wikidata	Q173091	# transcendental number
even-number	wikidata	Q13366104	# even number
odd-number	wikidata	Q13366129	# odd number
imaginary-number	wikidata	Q9165172	# imaginary number
quaternion	wikidata	Q173853	# quaternion
ordinal-number	wikidata	Q191780	# ordinal number
cardinal-number	wikidata	Q163875	# cardinal number
binary-relation	wikidata	Q130901	# binary relation
equivalence-relation	wikidata	Q130998	# equivalence relation
reflexive-relation	wikidata	Q621850	# reflexive relation
symmetric-relation	wikidata	Q621461	# symmetric relation
transitive-relation	wikidata	Q64861	# transitive relation
antisymmetric-relation	wikidata	Q583760	# antisymmetric relation
function	wikidata	Q11348	# function
injective-function	wikidata	Q12047217	# injective function
surjective-function	wikidata	Q229102	# surjective function
homomorphism	wikidata	Q215111	# homomorphism
endomorphism	wikidata	Q1340800	# endomorphism
linear-map	wikidata	Q207643	# linear map
mathematical-set	wikidata	Q36161	# set
finite-set	wikidata	Q272404	# finite set
infinite-set	wikidata	Q205140	# infinite set
countable-set	wikidata	Q66707394	# countable set
uncountable-set	wikidata	Q1128796	# uncountable set
subset	wikidata	Q177646	# subset
