# QID	depth	note — bounded P279 walks; Wikidata is the second witness for the mathematics skeleton
Q205464	4	algebraic structure (magma … field; modules, vector spaces)
Q748349	2	mathematical structure
Q11563	3	number (the number-type DAG)
Q12503	2	integer
Q130901	2	binary relation (equivalence, order, function)
Q130998	2	equivalence relation
Q474715	3	partially ordered set (lattices, Boolean algebras)
Q36161	2	set
Q11348	2	mathematical function (injection, surjection, bijection)
Q125977	2	vector space
Q815741	2	geometric shape
Q65943	1	theorem
# items the bounded walk missed; depth 1 — cross edges supply their parents
Q21199	1	natural number
Q49008	1	prime number
Q50707	1	composite number
Q1069998	1	partial order
Q369377	1	total order
Q659746	1	well-order
Q1425985	1	preorder
Q180907	1	bijection
Q189112	1	isomorphism
Q782566	1	automorphism
Q161519	1	permutation
Q226183	1	empty set
Q205170	1	power set
Q180953	1	metric space
Q190056	1	Hilbert space
Q194397	1	Banach space
Q44337	1	matrix
Q188524	1	tensor
Q43260	1	polynomial
Q37555	1	polygon
Q595364	1	lattice
Q44528	1	Euclidean vector
Q1289248	1	scalar
Q207505	1	lemma
Q17736	1	axiom
Q319141	1	conjecture
Q179899	1	topological space
Q748349	1	mathematical structure (parents via cross edges)
# graph theory items, depth 1
Q141488	1	mathematical-graph
Q1137726	1	directed-graph
Q3115587	1	undirected-graph
Q1195339	1	directed-acyclic-graph
Q272735	1	tree-graph
Q63721528	1	rooted-tree
Q831672	1	spanning-tree
Q240464	1	minimum-spanning-tree
Q174733	1	bipartite-graph
Q45715	1	complete-graph
Q547823	1	planar-graph
Q1723971	1	weighted-graph
Q2642629	1	multigraph
Q840247	1	hypergraph
Q230655	1	connected-graph
Q1304193	1	graph-vertex
Q1415372	1	graph-path
Q245595	1	graph-cycle
Q7631151	1	subgraph
Q24743362	1	induced-subgraph
Q761631	1	clique
Q1060343	1	independent-set
Q1065144	1	graph-matching
Q504843	1	graph-colouring
Q1412924	1	flow-network
Q1058754	1	shortest-path
Q624580	1	eulerian-path
Q273037	1	hamiltonian-path
Q901446	1	hasse-diagram
Q753127	1	topological-ordering
Q3088151	1	transitive-reduction
Q1501387	1	transitive-closure
Q1361526	1	reachability
Q2997928	1	connected-component
Q2003238	1	strongly-connected-component
Q727035	1	adjacency-matrix
Q303100	1	graph-isomorphism
Q3385162	1	graph-homomorphism
Q7227115	1	polytree
Q130323481	1	cyclic-graph
Q3115453	1	acyclic-graph
