# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- mathematics batch 1: wordnet  ---
accuracy	attribute	accept		04803209	00024264
acute-triangle	triangle	accept		13879816	13879320
affine-geometry	geometry	accept		06005399	06004685
age-norm	average	accept		06023243	06021761
algebra	mathematics	accept		06012726	06000644
analysis	calculus	accept		06014043	06013741
analytic-geometry	geometry	accept		06008382	06004685
angle-of-inclination	angle	accept		13889602	13887509
arithmetic	mathematics	accept		06004067	06000644
arithmetic-operation	mathematical-operation	accept		00872541	00869583
arithmetic-progression	group	reject	a progression is a sequence, not a group of entities	08460924	00031264
bayes'-postulate	proposition	accept		05918704	06750804
bayes'-theorem	idea	accept		05918379	05833840
bernoulli's-law	concept	accept		05875148	05835747
biquadratic-equation	equation	accept		06670390	06669864
box.shape	rectangle	accept		13883494	13883346
calculus	mathematics	accept		06013741	06000644
calculus-of-variations	calculus	accept		06015978	06013741
circle	conic-section	accept		13873502	13872975
combination.act	mathematical-operation	accept		00870453	00869583
construction	mathematical-operation	accept		00873381	00869583
covariation	process	reject	a statistical relation, not a process	06032752	00029677
cross-section	sample	accept		05822085	05821775
curvilinear-correlation	statistics	reject	a correlation is not a branch of mathematics	06031657	06018465
decile	mark	reject	a statistical cut point, not a grade	05737982	05737153
degree-of-freedom	variable	accept		05858551	05857459
dependent-variable	variable	accept		05858699	05857459
diagonal.shape	shape	accept		13904325	00027807
differential-calculus	calculus	accept		06014435	06013741
differentiation	mathematical-operation	accept		00870640	00869583
division	arithmetic-operation	accept		00870912	00872541
eccentricity	ratio	accept		13877129	13819207
elementary-geometry	geometry	accept		06005518	06004685
elliptic-geometry	non-euclidean-geometry	accept		06007381	06006777
equilateral-triangle	regular-polygon	accept		13879947	13867133
equilateral-triangle	triangle	accept		13879947	13879320
euclid's-axiom	proposition	accept		06005692	06750804
exponential-equation	equation	accept		13789627	06669864
exponentiation	mathematical-operation	accept		00872411	00869583
factorization	thinking	reject	an operation, not the process of thinking	05783041	05770926
fractal	cognition	reject	a geometric pattern is a shape	05931152	00023271
fractal-geometry	geometry	accept		06006609	06004685
fraction	complex-number	accept		13732078	13729428
galois-theory	group-theory	accept		06017334	06017193
geodesic	shape	accept		13870414	00027807
geometric-progression	group	reject	same	08461172	00031264
geometry	mathematics	accept		06004685	06000644
grab-sample	sample	accept		05822337	05821775
group-theory	mathematics	accept		06017193	06000644
harmonic-progression	group	reject	same	08461424	00031264
hyperbolic-geometry	non-euclidean-geometry	accept		06007046	06006777
independent-variable	variable	accept		05858093	05857459
infinitesimal	variable	accept		05864047	05857459
information-theory	thinking	reject	a theory, not thinking	06108643	05770926
integral-calculus	calculus	accept		06015271	06013741
integration.act	mathematical-operation	accept		00871418	00869583
invariant	feature	accept		05850432	05849789
isosceles-triangle	triangle	accept		13880199	13879320
linear-algebra	algebra	accept		06013126	06012726
linear-equation	equation	accept		06670137	06669864
lower-bound	shape	reject	a number, not a shape	13904011	00027807
mathematical-space	attribute	reject	a mathematical construct is a concept	08001685	00024264
matrix-addition	matrix-operation	accept		00872900	00872722
matrix-algebra	algebra	accept		06013584	06012726
matrix-inversion	matrix-operation	accept		00873084	00872722
matrix-multiplication	matrix-operation	accept		00872986	00872722
matrix-operation	mathematical-operation	accept		00872722	00869583
matrix-transposition	matrix-operation	accept		00873238	00872722
maximization	mathematical-operation	accept		00870786	00869583
maxwell's-equations	differential-equation	accept		06670711	06670521
mean	average	accept		06023969	06021761
median	average	accept		06023821	06021761
metamathematics	mathematics	accept		06017895	06000644
mode	average	accept		06023675	06021761
multiplication	arithmetic-operation	accept		00871576	00872541
negative-correlation	statistics	reject	same	06033172	06018465
non-euclidean-geometry	geometry	accept		06006777	06004685
normal-curve	curved-shape	accept		06026088	13867641
numerical-analysis	mathematics	accept		06007642	06000644
oblique-triangle	triangle	accept		13880295	13879320
obtuse-triangle	triangle	accept		13880415	13879320
osculation	connectedness	reject	a geometric contact, not a state	14419889	14419164
parallel	shape	accept		13880994	00027807
partial-correlation	statistics	reject	same	06031866	06018465
partial-differential-equation	differential-equation	accept		06670866	06670521
percentile	mark	reject	same	05737752	05737153
permutation	mathematical-operation	accept		00870312	00869583
plane-geometry	geometry	accept		06012108	06004685
plane-section	magnitude	reject	a region, not a magnitude	08648153	05090441
positive-correlation	statistics	reject	same	06032898	06018465
predictor-variable	variable	accept		05863736	05857459
probability-theory	mathematics	accept		06037108	06000644
projective-geometry	geometry	accept		06012340	06004685
quadrate	square	accept		13879049	13878634
quadratic-equation	equation	accept		06670240	06669864
quadratics	algebra	accept		06012998	06012726
quadrature	construction	accept		00873671	00873381
quartile	mark	reject	same	05738204	05737153
random-sample	sample	accept		05822507	05821775
rationalization	act	reject	a mathematical operation	01212225	00030358
ray	shape	accept		13913427	00027807
recursive-definition	definition	accept		06745422	06744396
reentrant-polygon	concave-polygon	accept		13867005	13866827
regression-equation	equation	accept		06028260	06669864
regression-line	curve	accept		06029306	07000941
regular-hexagon	hexagon	accept		13882385	13882276
regular-polygon	isogon	accept		13867133	13866515
relaxation	mathematical-operation	accept		00873798	00869583
rhombus	parallelogram	accept		13882961	13881175
rounding	mistake	reject	a rounding error is not a lapse of judgement	00073177	00070965
scalene-triangle	triangle	accept		13880704	13879320
schrodinger-equation	differential-equation	accept		06671013	06670521
set-theory	mathematics	accept		06016121	06000644
simultaneous-equations	equation	accept		06671150	06669864
solid-geometry	geometry	accept		06012225	06004685
spherical-geometry	geometry	accept		06007859	06004685
spherical-polygon	polygon	accept		13883603	13866144
spherical-triangle	spherical-polygon	accept		13883763	13883603
spherical-trigonometry	trigonometry	accept		06008007	06012513
spurious-correlation	statistics	reject	same	06036157	06018465
square	rectangle	accept		13878634	13883346
square	regular-polygon	accept		13878634	13867133
statistic	cognition	accept		06021499	00023271
statistical-distribution	cognition	accept		05729036	00023271
statistical-method	method	accept		06020737	05660268
statistician	expert	accept		10652954	09617867
subpopulation	population.cognition	accept		06026508	06026276
subtraction	arithmetic-operation	accept		00871862	00872541
summation	arithmetic-operation	accept		00872107	00872541
symmetry	attribute	accept		05064827	00024264
theorem	proposition	accept		06752293	06750804
topology	mathematics	accept		06017594	06000644
trigonometry	mathematics	accept		06012513	06000644
truncation-error	mistake	reject	same	00073525	00070965
undecagon	polygon	accept		13882804	13866144
upper-bound	shape	reject	a number, not a shape	13903855	00027807
vector-algebra	algebra	accept		06013298	06012726
wave-equation	differential-equation	accept		06671339	06670521
wedge	triangle	reject	a three-dimensional shape is not a triangle	13919547	13879320
# --- mathematics batch 2: wordnet  ---
arithmetic-mean	mean	accept		06024230	06023969
average	statistic	accept		06021761	06021499
binomial-distribution	statistical-distribution	accept		06036697	05729036
binomial-theorem	theorem	accept		06036939	06752293
delta	equilateral-triangle	reject	an object shaped like a triangle is not a triangle	13880102	13879947
demographic	statistic	accept		06022076	06021499
deviation	statistic	accept		06022291	06021499
equidistribution	statistical-distribution	accept		05729362	05729036
frequency-distribution	statistical-distribution	accept		06025521	05729036
geometric-mean	mean	accept		06024431	06023969
harmonic-mean	mean	accept		06024576	06023969
least-squares	statistical-method	accept		06021013	06020737
long-division	division	accept		00871123	00870912
moment	statistic	accept		06022509	06021499
multivariate-analysis	statistical-method	accept		06021247	06020737
nonparametric-statistic	statistic	accept		06022727	06021499
parametric-statistic	statistic	accept		06023022	06021499
poisson-distribution	statistical-distribution	accept		06025854	05729036
regression	statistical-method	accept		06027264	06020737
sample-distribution	statistical-distribution	accept		06026635	05729036
short-division	division	accept		00871263	00870912
time-series	statistic	accept		06029547	06021499
vital-statistics	statistic	accept		06029676	06021499
