# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
antigenic-determinant	physical-object	accept	a site on an antigen molecule	15037664	00002684
bleeding	symptom	accept	the flow of blood is a sign	14288235	14299637
blister	symptom	accept	a skin lesion	05517837	14299637
centesis	medical-procedure	accept	puncturing a body cavity	00943187	
contraindication	information	accept	a reason against a treatment	06797947	00033020
indication.communication	information	accept	a reason for a treatment	06797671	00033020
germ-theory	concept	accept	a theory	06108487	05835747
jactitation	symptom	accept	restless tossing	04625515	14299637
nebula	symptom	accept	a corneal spot	04682184	14299637
plaque	symptom	accept	a pathological patch	05244239	14299637
phlebothrombosis	disease	accept	thrombosis of a vein	14353008	14070360
scatology	medical-procedure	accept	analysis of excrement	00646504	
spasm	symptom	accept	involuntary constriction	00226107	14299637
strangulation	condition	accept	constriction of a body part	00227264	13920835
paleopathology	pathology	accept	already WordNet's other parent	06145729	06060845
clinical-psychology	psychology	accept	a branch of psychology	06057172	06136258
freudian-psychology	concept	accept	a body of theory	06057326	05835747
jungian-psychology	concept	accept	a body of theory	06057435	05835747
analyst	health-professional	accept	a psychoanalyst	09790278	
nose-job	plastic-surgery	accept	rhinoplasty	00689062	00690501
anemia	disease	accept	the blood disorder (sense overridden to 14195315)	14372738	14070360
abortionist	person	accept	someone who terminates pregnancies	09757175	00007846
acting-out	act	accept	a displayed behaviour	06887962	00030358
antibody-affinity	natural-event	accept	an attraction; WordNet's natural phenomenon	11426778	11408559
incubation	time-period	accept	the phase before symptoms	15287578	15113229
occlusion	attribute	accept	the spatial relation of the teeth	05067928	00024264
physiological-reserve	attribute	accept	a capacity	13759773	00024264
griseofulvin	medication	accept	an antifungal; WordNet's 'a kind of penicillin' is wrong	03460674	03740161
incubation-period	state	accept	the phase between infection and symptoms; `time-period` is unplaced in core	15287578	00024720
amphotericin	medication	accept	second reading [2026-09-03]		
antimycin	medication	accept	second reading [2026-09-03]		
nystatin	medication	accept	second reading [2026-09-03]		
doxorubicin	cytotoxic-drug	accept	second reading [2026-09-03]		
mitomycin	cytotoxic-drug	accept	second reading [2026-09-03]		
dental-impression	artifact	accept	second reading [2026-09-03]		
urinalysis	procedure	accept	second reading [2026-09-03]		
