# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
atomic-nucleus	particle	accept	the nucleus is a bound particle system; files with the particles	09375085	09386422
hydrogen-ion	proton	accept	H+ is a bare proton	09307719	09400037
proton	hydrogen-ion	reject	inverted	09400037	09307719
antiproton	antibaryon	accept	the antiparticle of a baryon [second pass 2026-09-03]	09200193	09199219
antineutron	antibaryon	accept	same [second pass 2026-09-03]	09199817	09199219
comet-nucleus	natural-object	accept	a body of ice and dust [second pass 2026-09-03]	09375223	00019128
anomaly	angle	accept	the astronomical anomaly is an angle [second pass 2026-09-03]	08622763	13887509
atomic-spectrum	physical-phenomenon	accept	a spectrum of radiation [second pass 2026-09-03]	11426288	11419404
chaotic-system	dynamical-system	accept	WordNet [second pass 2026-09-03]	06246529	06246361
dynamical-system	concept	accept	a mathematical model of a physical system [second pass 2026-09-03]	06246361	05835747
comet-coma	natural-object	accept	a cloud of particles [second pass 2026-09-03]	09251002	00019128
conjunction	event	accept	an apparent meeting of celestial bodies [second pass 2026-09-03]	07415167	00029378
inferior-conjunction	conjunction	accept	WordNet [second pass 2026-09-03]	07415396	07415167
superior-conjunction	conjunction	accept	WordNet [second pass 2026-09-03]	07415561	07415167
conservation-law	physical-law	accept	a law stating that a quantity is unchanged [second pass 2026-09-03]	06104073	05872982
copernican-system	theory	accept	an astronomical model [second pass 2026-09-03]	05890642	05989479
ptolemaic-system	theory	accept	an astronomical model [second pass 2026-09-03]	05890809	05989479
coriolis-effect	physical-phenomenon	accept	an effect of rotation [second pass 2026-09-03]	11413263	11419404
libration	orbital-variation	accept	WordNet [second pass 2026-09-03]	13507617	11415084
orbital-variation	perturbation	accept	WordNet [second pass 2026-09-03]	11415084	11414874
perturbation	physical-phenomenon	accept	a secondary influence on a system [second pass 2026-09-03]	11414874	11419404
parity	conservation-law	accept	physics parity is the conservation of handedness; named parity-conservation so it never collides with the mathematical parity [second pass 2026-09-03]	06105314	06104073
phase-space	concept	accept	an ideal space, a mathematical construct [second pass 2026-09-03]	00029114	05835747
quantum	concept	accept	the smallest discrete amount of a property [second pass 2026-09-03]	05855517	05835747
# ===== 2026-09-17 review: the basics the pack never had, placed by WordNet's nearest placed ancestor.
boson	particle	accept	WordNet's nearest placed ancestor, d1 (2026-09-17 review): a body having finite mass and internal structure but n	09226997	09386422
entropy	attribute	accept	WordNet's nearest placed ancestor, d3 (2026-09-17 review): an abstraction belonging to or characteristic of an en	05012585	00024264
fermion	particle	accept	WordNet's nearest placed ancestor, d1 (2026-09-17 review): a body having finite mass and internal structure but n	09279161	09386422
