kind	sub	sup	detail
single	active-galactic-nucleus	place	only yago
single	aerolite	material	only sumo
single	aerolite	meteoroid	only wordnet
single	aerolite	mineral	only sumo
single	aerolite	natural-object	only wordnet
single	aerolite	physical-object	only wordnet
single	aerolite	substance	only sumo
single	aerospace-engineering	human	only opencyc
single	aerospace-engineering	mammal	only opencyc
single	aerospace-engineering	structure	only opencyc
single	aerospace-engineering	vertebrate	only opencyc
single	aerospace-engineering	worker	only opencyc
single	amateur-astronomy	action	only opencyc
single	amateur-astronomy	event	only opencyc
single	amateur-astronomy	research	only wikidata
single	amateur-astronomy	science	only wikidata
single	amateur-astronomy	situation	only opencyc
single	andromeda-galaxy	galaxy	only wordnet
single	andromeda-galaxy	group	only wordnet
single	aphelion	physical-object	only wordnet
single	apoapsis	physical-object	only wordnet
single	apogee	apsis	only wikidata
single	apogee	physical-object	only wordnet
single	apojove	physical-object	only wordnet
single	aposelene	physical-object	only wordnet
single	armillary-sphere	device	only sumo
single	armillary-sphere	information	only yago
single	armillary-sphere	organization	only yago
single	armillary-sphere	physical-object	only wordnet
single	armillary-sphere	place	only yago
single	ascending-node	physical-object	only wordnet
single	asteroid	natural-object	only wordnet
single	asteroid	physical-object	only wordnet
single	asteroid	place	only yago
single	astrobiology	research	only wikidata
single	astrobiology	science	only wikidata
single	astrometry	cognition	only wordnet
single	astrometry	natural-science	only wordnet
single	astrometry	physics	only wordnet
single	astrometry	research	only wikidata
single	astronaut	adult	only opencyc
single	astronaut	agent	only wordnet
single	astronaut	human	only opencyc
single	astronaut	mammal	only opencyc
single	astronaut	organism	only wordnet
single	astronaut	physical-object	only wordnet
single	astronaut	research-worker	only wikidata
single	astronaut	structure	only opencyc
single	astronaut	vertebrate	only opencyc
single	astronaut	worker	only opencyc
single	astronomical-catalog	collection	only yago
single	astronomical-catalog	dataset	only yago
single	astronomical-catalog	information	only yago
single	astronomical-conjunction	event	only wordnet
single	astronomical-telescope	physical-object	only wordnet
single	astronomy-satellite	equipment	only wordnet
single	astronomy-satellite	observatory	only opencyc
single	astronomy-satellite	physical-object	only wordnet
single	astronomy-satellite	spacecraft	only opencyc
single	astrophysics	cognition	only wordnet
single	astrophysics	natural-science	only wordnet
single	astrophysics	physics	only wordnet
single	astrophysics	research	only wikidata
single	autumnal-equinoctial-point	physical-object	only wordnet
single	autumnal-equinox	attribute	only wordnet
single	autumnal-equinox	quantity	only sumo
single	barred-spiral-galaxy	celestial-body	only wikidata
single	barred-spiral-galaxy	galaxy	only wikidata
single	barred-spiral-galaxy	place	only yago
single	barycenter	information	only yago
single	binary-star	natural-object	only wordnet
single	binary-star	physical-object	only wordnet
single	binary-star	place	only yago
single	black-hole	physical-object	only wordnet
single	booster-rocket	machine	only wordnet
single	booster-rocket	physical-object	only wordnet
single	brown-dwarf	place	only yago
single	cassegrainian-telescope	astronomical-telescope	only wordnet
single	cassegrainian-telescope	instrument	only wordnet
single	cassegrainian-telescope	optical-telescope	only wordnet
single	cassegrainian-telescope	physical-object	only wordnet
single	celestial-culmination	physical-object	only wordnet
single	celestial-equator	physical-object	only wordnet
single	celestial-mechanics	cognition	only wordnet
single	celestial-mechanics	natural-science	only wordnet
single	celestial-mechanics	physics	only wordnet
single	celestial-mechanics	research	only wikidata
single	celestial-navigation	accomplishment	only sumo
single	celestial-navigation	leader	only sumo
single	celestial-navigation	procedure	only sumo
single	celestial-navigation	volition	only sumo
single	celestial-pole	physical-object	only wordnet
single	celestial-sphere	physical-object	only wordnet
single	chiron	minor-planet	only wordnet
single	chiron	natural-object	only wordnet
single	chiron	physical-object	only wordnet
single	collimator	physical-object	only wordnet
single	communications-satellite	celestial-body	only wikidata
single	communications-satellite	equipment	only wordnet
single	communications-satellite	machine	only sumo
single	communications-satellite	machinery	only sumo
single	communications-satellite	physical-object	only wordnet
single	communications-satellite	place	only yago
single	communications-satellite	vehicle	only yago
single	cosmologist	agent	only wordnet
single	cosmologist	organism	only wordnet
single	cosmologist	person	only wordnet
single	cosmologist	physical-object	only wordnet
single	cosmologist	research-worker	only wikidata
single	cosmology	cognition	only wordnet
single	cosmology	natural-science	only wordnet
single	cosmology	physics	only wordnet
single	cosmology	research	only wikidata
single	coude-telescope	astronomical-telescope	only wordnet
single	coude-telescope	instrument	only wordnet
single	coude-telescope	optical-telescope	only wordnet
single	coude-telescope	physical-object	only wordnet
single	cubesat	celestial-body	only wikidata
single	cubesat	spacecraft	only wikidata
single	dark-matter	celestial-body	only wikidata
single	dark-nebula	celestial-body	only wikidata
single	dark-nebula	place	only yago
single	daylight	solar-radiation	only opencyc
single	declination	attribute	only wordnet
single	declination	empty-space	only wordnet
single	declination	physical-object	only wordnet
single	declination	place	only wordnet
single	declination	quantity	only sumo
