kind	sub	sup	detail
single	absolute-magnitude	property	only sumo
single	absorber	part	only wordnet
single	absorber	relation	only wordnet
single	absorber	substance	only wordnet
single	absorptivity	property	only sumo
single	acoustics	cognition	only wordnet
single	acoustics	natural-science	only wordnet
single	acoustics	science	only wordnet
single	aeromechanics	cognition	only wordnet
single	aeromechanics	mechanics	only wordnet
single	aeromechanics	natural-science	only wordnet
single	aeromechanics	science	only wordnet
single	anomaly	physical-object	only wordnet
single	anomaly	quantity	only sumo
single	antibaryon	chemical-element	only sumo
single	antibaryon	fermion	only wikidata
single	antibaryon	material	only sumo
single	antibaryon	natural-object	only wordnet
single	antibaryon	substance	only sumo
single	antilepton	chemical-element	only sumo
single	antilepton	material	only sumo
single	antilepton	natural-object	only wordnet
single	antilepton	substance	only sumo
single	antimeson	chemical-element	only sumo
single	antimeson	material	only sumo
single	antimeson	natural-object	only wordnet
single	antimeson	particle	only wordnet
single	antimeson	physical-object	only wordnet
single	antimeson	substance	only sumo
single	antimuon	chemical-element	only sumo
single	antimuon	material	only sumo
single	antimuon	natural-object	only wordnet
single	antimuon	particle	only wordnet
single	antimuon	physical-object	only wordnet
single	antimuon	substance	only sumo
single	antineutrino	antiparticle	only wikidata
single	antineutrino	chemical-element	only sumo
single	antineutrino	material	only sumo
single	antineutrino	natural-object	only wordnet
single	antineutrino	substance	only sumo
single	antineutron	baryon	only wordnet
single	antineutron	chemical-element	only sumo
single	antineutron	fermion	only wordnet
single	antineutron	hadron	only wordnet
single	antineutron	material	only sumo
single	antineutron	natural-object	only wordnet
single	antineutron	particle	only wordnet
single	antineutron	physical-object	only wordnet
single	antineutron	substance	only sumo
single	antinode	physical-object	only wordnet
single	antiparticle	chemical-element	only sumo
single	antiparticle	material	only sumo
single	antiparticle	natural-object	only wordnet
single	antiparticle	substance	only sumo
single	antiproton	baryon	only wordnet
single	antiproton	chemical-element	only sumo
single	antiproton	fermion	only wordnet
single	antiproton	hadron	only wordnet
single	antiproton	material	only sumo
single	antiproton	natural-object	only wordnet
single	antiproton	particle	only wordnet
single	antiproton	physical-object	only wordnet
single	antiproton	substance	only sumo
single	antiquark	chemical-element	only sumo
single	antiquark	material	only sumo
single	antiquark	natural-object	only wordnet
single	antiquark	particle	only wordnet
single	antiquark	physical-object	only wordnet
single	antiquark	substance	only sumo
single	antitauon	chemical-element	only sumo
single	antitauon	material	only sumo
single	antitauon	natural-object	only wordnet
single	antitauon	particle	only wordnet
single	antitauon	physical-object	only wordnet
single	antitauon	substance	only sumo
single	apoapsis	physical-object	only wordnet
single	asterism	celestial-body	only sumo
single	asterism	physical-object	only wordnet
single	astronomer	adult	only opencyc
single	astronomer	agent	only wordnet
single	astronomer	human	only opencyc
single	astronomer	mammal	only opencyc
single	astronomer	organism	only wordnet
single	astronomer	person	only wordnet
single	astronomer	physical-object	only wordnet
single	astronomer	research-worker	only wikidata
single	astronomer	structure	only opencyc
single	astronomer	system	only opencyc
single	astronomer	vertebrate	only opencyc
single	astronomer	worker	only opencyc
single	atomic-nucleus	chemical-element	only sumo
single	atomic-nucleus	elementary-particle	only sumo
single	atomic-nucleus	material	only sumo
single	atomic-nucleus	physical-object	only wordnet
single	atomic-nucleus	place	only wordnet
single	atomic-nucleus	substance	only sumo
single	atomic-spectrum	event	only sumo
single	attractor	attribute	only sumo
single	attractor	cognition	only wordnet
single	attractor	idea	only wordnet
single	attractor	property	only sumo
single	attractor	shape	only sumo
single	autumnal-equinoctial-point	physical-object	only wordnet
single	b-meson	boson	only wordnet
single	b-meson	chemical-element	only sumo
single	b-meson	hadron	only wordnet
single	b-meson	material	only sumo
single	b-meson	natural-object	only wordnet
single	b-meson	particle	only wordnet
single	b-meson	physical-object	only wordnet
single	b-meson	substance	only sumo
single	barycenter	information	only yago
single	barycenter	physical-object	only wordnet
single	baryon	chemical-element	only sumo
single	baryon	material	only sumo
single	baryon	natural-object	only wordnet
single	baryon	particle	only wordnet
single	baryon	physical-object	only wordnet
single	baryon	substance	only sumo
single	beam-of-light	physical-phenomenon	only wordnet
single	binoculars	optics	only gpt
single	bohr-theory	cognition	only wordnet
single	bohr-theory	theory	only wordnet
single	bose-einstein-statistics	cognition	only wordnet
single	bose-einstein-statistics	idea	only wordnet
single	boson	chemical-element	only sumo
single	boson	elementary-particle	only sumo
single	boson	material	only sumo
single	boson	natural-object	only wordnet
single	boson	physical-object	only wordnet
single	boson	substance	only sumo
single	bottom-quark	chemical-element	only sumo
single	bottom-quark	material	only sumo
single	bottom-quark	natural-object	only wordnet
single	bottom-quark	particle	only wordnet
single	bottom-quark	physical-object	only wordnet
single	bottom-quark	substance	only sumo
single	breeze	physical-phenomenon	only wordnet
single	capacitance	physical-phenomenon	only wordnet
single	capacitance	process	only wordnet
single	capacitance	quantity	only sumo
single	capacitance	vector	only sumo
single	celestial-culmination	physical-object	only wordnet
single	celestial-limb	physical-object	only wordnet
single	center-of-buoyancy	physical-object	only wordnet
single	chaotic-system	attribute	only wordnet
single	chaotic-system	phase-space	only wordnet
single	charge-recombination	combination	only sumo
single	charm-quark	chemical-element	only sumo
single	charm-quark	material	only sumo
single	charm-quark	natural-object	only wordnet
single	charm-quark	particle	only wordnet
single	charm-quark	physical-object	only wordnet
single	charm-quark	substance	only sumo
single	collision	blow	only sumo
single	collision	impact	only sumo
single	collision	visit	only sumo
single	comet-coma	celestial-body	only sumo
single	comet-coma	process	only wordnet
single	comet-nucleus	celestial-body	only sumo
single	comet-nucleus	physical-object	only wordnet
single	comet-nucleus	place	only wordnet
single	conservation-law	cognition	only wordnet
single	conservation-law	concept	only wordnet
single	conservation-law	idea	only wordnet
single	conservation-law	natural-law	only wordnet
single	conservation-law	principle	only wordnet
single	copernican-system	cognition	only wordnet
single	copernican-system	concept	only wordnet
single	copernican-system	hypothesis	only wordnet
single	copernican-system	idea	only wordnet
single	copernican-system	theoretical-account	only wordnet
single	coriolis-effect	consequence	only wordnet
single	coriolis-effect	process	only wordnet
single	coriolis-force	event	only sumo
single	coriolis-force	process	only wordnet
single	corpuscular-theory	cognition	only wordnet
single	corpuscular-theory	theory	only wordnet
single	cosmic-string	chemical-element	only sumo
single	cosmic-string	material	only sumo
single	cosmic-string	natural-object	only wordnet
single	cosmic-string	particle	only wordnet
single	cosmic-string	physical-object	only wordnet
single	cosmic-string	substance	only sumo
single	crystallography	cognition	only wordnet
single	crystallography	natural-science	only wordnet
single	crystallography	physics	only wordnet
single	crystallography	science	only wordnet
single	current	physical-phenomenon	only wordnet
single	dalton's-law	cognition	only wordnet
single	dalton's-law	idea	only wordnet
single	daylight	physical-phenomenon	only wordnet
single	declination	attribute	only wordnet
single	declination	empty-space	only wordnet
single	declination	physical-object	only wordnet
single	declination	place	only wordnet
single	declination	quantity	only sumo
single	declination	shape	only wordnet
single	delta-ray	chemical-element	only sumo
single	delta-ray	fermion	only wordnet
single	delta-ray	lepton	only wordnet
single	delta-ray	material	only sumo
single	delta-ray	natural-object	only wordnet
single	delta-ray	particle	only wordnet
single	delta-ray	physical-object	only wordnet
single	delta-ray	substance	only sumo
single	diffusion	combination	only sumo
single	diffusion	situation	only opencyc
single	down-quark	chemical-element	only sumo
single	down-quark	material	only sumo
single	down-quark	natural-object	only wordnet
single	down-quark	particle	only wordnet
single	down-quark	physical-object	only wordnet
single	down-quark	substance	only sumo
single	draught	physical-phenomenon	only wordnet
single	dynamical-system	attribute	only wordnet
single	dynamical-system	phase-space	only wordnet
single	dynamics	cognition	only wordnet
single	dynamics	mechanics	only wordnet
single	dynamics	natural-science	only wordnet
single	dynamics	science	only wordnet
single	eclipse-egress	attribute	only sumo
single	eclipse-egress	property	only sumo
single	eclipse-ingress	attribute	only sumo
single	eclipse-ingress	property	only sumo
single	electric-charge	physical-phenomenon	only wordnet
single	electrical-phenomenon	event	only sumo
single	electrical-phenomenon	natural-event	only wordnet
single	electrical-phenomenon	process	only wordnet
single	electromagnetism	cognition	only wordnet
single	electromagnetism	natural-science	only wordnet
single	electromagnetism	science	only wordnet
single	electron	fermion	only wordnet
single	electrostatics	cognition	only wordnet
single	electrostatics	natural-science	only wordnet
single	electrostatics	science	only wordnet
single	elementary-particle	chemical-element	only sumo
single	elementary-particle	material	only sumo
single	elementary-particle	natural-object	only wordnet
single	elementary-particle	physical-object	only wordnet
single	elementary-particle	substance	only sumo
single	entropy	event	only sumo
single	equinoctial-point	physical-object	only wordnet
single	fair-weather	physical-phenomenon	only wordnet
single	fermi-dirac-statistics	cognition	only wordnet
single	fermi-dirac-statistics	idea	only wordnet
single	fermion	chemical-element	only sumo
single	fermion	elementary-particle	only sumo
single	fermion	material	only sumo
single	fermion	natural-object	only wordnet
single	fermion	physical-object	only wordnet
single	fermion	substance	only sumo
single	field-theory	cognition	only wordnet
single	flux-density	attribute	only wordnet
single	flux-density	quantity	only sumo
single	flux-density	vector	only sumo
single	free-electron	chemical-element	only sumo
single	free-electron	fermion	only wordnet
single	free-electron	lepton	only wordnet
single	free-electron	material	only sumo
single	free-electron	natural-object	only wordnet
single	free-electron	particle	only wordnet
single	free-electron	physical-object	only wordnet
single	free-electron	substance	only sumo
single	friction	event	only opencyc
single	friction	natural-event	only wordnet
single	friction	process	only wordnet
single	friction	situation	only opencyc
single	fundamental-interaction	event	only sumo
single	fundamental-interaction	process	only wordnet
single	gay-lussac's-law	cognition	only wordnet
single	gay-lussac's-law	idea	only wordnet
single	glow	physical-phenomenon	only wordnet
single	gluon	chemical-element	only sumo
single	gluon	material	only sumo
single	gluon	natural-object	only wordnet
single	gluon	particle	only wordnet
single	gluon	physical-object	only wordnet
single	gluon	substance	only sumo
single	gravitational-accretion	deadline-extension	only sumo
single	gravitational-accretion	event	only sumo
single	gravitational-accretion	process	only wordnet
single	gravitational-mass	amount	only wordnet
single	gravitational-mass	quantity	only sumo
single	graviton	boson	only wordnet
single	graviton	chemical-element	only sumo
single	graviton	elementary-particle	only sumo
single	graviton	material	only sumo
single	graviton	natural-object	only wordnet
single	graviton	physical-object	only wordnet
single	graviton	substance	only sumo
single	gravity	physical-phenomenon	only wordnet
single	ground-state	property	only sumo
single	hadron	chemical-element	only sumo
single	hadron	material	only sumo
single	hadron	natural-object	only wordnet
single	hadron	particle	only wordnet
single	hadron	physical-object	only wordnet
single	hadron	substance	only sumo
single	heat	temperature	only sumo
single	heat-energy	deadline-extension	only sumo
single	heat-energy	event	only sumo
single	heat-energy	increase	only sumo
single	heat-energy	natural-event	only wordnet
single	heat-energy	process	only wordnet
single	hodoscope	physical-object	only wordnet
single	hodoscope	vehicle-body	only sumo
single	hooke's-law	cognition	only wordnet
single	hooke's-law	idea	only wordnet
single	hour-angle	attribute	only wordnet
single	hour-angle	empty-space	only wordnet
single	hour-angle	physical-object	only wordnet
single	hour-angle	place	only wordnet
single	hour-angle	quantity	only sumo
single	hour-angle	shape	only wordnet
single	hubble's-law	cognition	only wordnet
single	hubble's-law	idea	only wordnet
single	hydrodynamics	cognition	only wordnet
single	hydrodynamics	mechanics	only wordnet
single	hydrodynamics	natural-science	only wordnet
single	hydrodynamics	science	only wordnet
single	hydrogen-ion	baryon	only wordnet
single	hydrogen-ion	chemical-element	only sumo
single	hydrogen-ion	elementary-particle	only wordnet
single	hydrogen-ion	fermion	only wordnet
single	hydrogen-ion	hadron	only wordnet
single	hydrogen-ion	material	only sumo
single	hydrogen-ion	natural-object	only wordnet
single	hydrogen-ion	nucleon	only wordnet
single	hydrogen-ion	particle	only wordnet
single	hydrogen-ion	physical-object	only wordnet
single	hydrogen-ion	substance	only sumo
single	hyperon	chemical-element	only sumo
single	hyperon	fermion	only wordnet
single	hyperon	hadron	only wordnet
single	hyperon	material	only sumo
single	hyperon	natural-object	only wordnet
single	hyperon	particle	only wordnet
single	hyperon	physical-object	only wordnet
single	hyperon	substance	only sumo
single	illuminance	attribute	only wordnet
single	illuminance	quantity	only sumo
single	illuminance	vector	only sumo
single	illumination-phase	attribute	only wordnet
single	illumination-phase	event	only sumo
single	illumination-phase	luminosity	only sumo
single	inductance	event	only sumo
single	inductance	physical-phenomenon	only wordnet
single	inductance	process	only wordnet
single	inertia	probability	only sumo
single	inertia	process	only wordnet
single	inertial-mass	amount	only wordnet
single	inertial-mass	quantity	only sumo
single	inferior-conjunction	encounter	only wordnet
single	inferior-conjunction	event	only wordnet
single	intermolecular-cohesion	event	only sumo
single	intermolecular-cohesion	process	only wordnet
single	isotopic-abundance	number	only sumo
single	isotopic-abundance	numeric-quantity	only sumo
single	isotopic-abundance	quantity	only sumo
single	isotopic-abundance	relation	only wordnet
single	j-particle	boson	only wordnet
single	j-particle	chemical-element	only sumo
single	j-particle	hadron	only wordnet
single	j-particle	material	only sumo
single	j-particle	natural-object	only wordnet
single	j-particle	particle	only wordnet
single	j-particle	physical-object	only wordnet
single	j-particle	substance	only sumo
single	kaon	chemical-element	only sumo
single	kaon	material	only sumo
single	kaon	natural-object	only wordnet
single	kaon	particle	only wordnet
single	kaon	physical-object	only wordnet
single	kaon	substance	only sumo
single	kepler's-law	cognition	only wordnet
single	kepler's-law	idea	only wordnet
single	kinematics	cognition	only wordnet
single	kinematics	mechanics	only wordnet
single	kinematics	natural-science	only wordnet
single	kinematics	science	only wordnet
single	kinetic-theory	cognition	only wordnet
single	kinetic-theory	theory	only wordnet
single	kirchhoff's-laws	cognition	only wordnet
single	kirchhoff's-laws	idea	only wordnet
single	lambda-particle	baryon	only wordnet
single	lambda-particle	chemical-element	only sumo
single	lambda-particle	fermion	only wordnet
single	lambda-particle	hadron	only wordnet
single	lambda-particle	material	only sumo
single	lambda-particle	natural-object	only wordnet
single	lambda-particle	particle	only wordnet
single	lambda-particle	physical-object	only wordnet
single	lambda-particle	substance	only sumo
single	law-of-gravitation	cognition	only wordnet
single	law-of-gravitation	idea	only wordnet
single	law-of-thermodynamics	cognition	only wordnet
single	law-of-thermodynamics	idea	only wordnet
single	law-of-thermodynamics	information	only opencyc
single	law-of-thermodynamics	proposition	only opencyc
single	lepton	chemical-element	only sumo
single	lepton	material	only sumo
single	lepton	natural-object	only wordnet
single	lepton	particle	only wordnet
single	lepton	physical-object	only wordnet
single	lepton	substance	only sumo
single	libration	consequence	only wordnet
single	libration	event	only sumo
single	libration	influence-effect	only wordnet
single	libration	perturbation	only wordnet
single	libration	process	only wordnet
single	low	physical-phenomenon	only wordnet
single	luminous-flux	quantity	only sumo
single	luminous-flux	relation	only wordnet
single	luminous-flux	vector	only sumo
single	magnetic-dip	attribute	only wordnet
single	magnetic-dip	empty-space	only wordnet
single	magnetic-dip	physical-object	only wordnet
single	magnetic-dip	place	only wordnet
single	magnetic-dip	quantity	only sumo
single	magnetic-dip	shape	only wordnet
single	magnetic-dipole-moment	process	only wordnet
single	magnetic-dipole-moment	quantity	only sumo
single	magnetic-dipole-moment	vector	only sumo
single	magnetic-flux	amount	only wordnet
single	magnetic-flux	quantity	only sumo
single	magnetic-flux	vector	only sumo
single	magnetic-reluctance	event	only sumo
single	magnetic-reluctance	physical-phenomenon	only wordnet
single	magnetic-reluctance	process	only wordnet
single	magnetism	event	only sumo
single	magnetism	natural-event	only wordnet
single	magnetism	physical-phenomenon	only wordnet
single	magnetism	process	only wordnet
single	mass-energy	amount	only wordnet
single	mass-energy	quantity	only sumo
single	mass-energy-equivalence	cognition	only wordnet
single	mass-energy-equivalence	concept	only wordnet
single	mass-energy-equivalence	idea	only wordnet
single	mass-energy-equivalence	physical-law	only wordnet
single	massage	friction	only opencyc
single	maxwell-boltzmann-distribution-law	cognition	only wordnet
single	maxwell-boltzmann-distribution-law	idea	only wordnet
single	mechanical-stress	event	only sumo
single	mechanical-stress	process	only wordnet
single	mechanical-work	event	only sumo
single	mechanical-work	natural-event	only wordnet
single	mechanical-work	process	only wordnet
single	mechanics	cognition	only wordnet
single	mechanics	natural-science	only wordnet
single	mechanics	science	only wordnet
single	meniscus	body-part	only sumo
single	meniscus	material	only sumo
single	meniscus	substance	only sumo
single	meniscus	tissue	only sumo
single	meson	chemical-element	only sumo
single	meson	material	only sumo
single	meson	natural-object	only wordnet
single	meson	particle	only wordnet
single	meson	physical-object	only wordnet
single	meson	substance	only sumo
single	metastability	amateur	only sumo
single	metastability	ambiance	only sumo
single	metastability	circumstance	only sumo
single	metastability	civilisation	only sumo
single	metastability	crowd	only sumo
single	metastability	custom	only sumo
single	metastability	danger	only sumo
single	metastability	expert	only sumo
single	metastability	freedom	only sumo
single	metastability	hero	only sumo
single	metastability	lap	only sumo
single	metastability	literary-works	only sumo
single	metastability	normal	only sumo
single	metastability	point-of-view	only sumo
single	metastability	practice	only sumo
single	metastability	property	only sumo
single	metastability	society	only sumo
single	metastability	status	only sumo
single	metastability	tension	only sumo
single	metastability	way	only sumo
single	meteoroid	celestial-body	only sumo
single	meteoroid	ground	only opencyc
single	meteoroid	physical-object	only wordnet
single	mist	physical-phenomenon	only wordnet
single	muon	chemical-element	only sumo
single	muon	fermion	only wordnet
single	muon	material	only sumo
single	muon	natural-object	only wordnet
single	muon	particle	only wordnet
single	muon	physical-object	only wordnet
single	muon	substance	only sumo
single	neutrino	chemical-element	only sumo
single	neutrino	material	only sumo
single	neutrino	natural-object	only wordnet
single	neutrino	particle	only wordnet
single	neutrino	physical-object	only wordnet
single	neutrino	substance	only sumo
single	neutron	chemical-element	only sumo
single	neutron	material	only sumo
single	neutron	natural-object	only wordnet
single	neutron	particle	only wordnet
single	neutron	physical-object	only wordnet
single	neutron	substance	only sumo
single	nuclear-physics	cognition	only wordnet
single	nuclear-physics	natural-science	only wordnet
single	nuclear-physics	science	only wordnet
single	nuclear-reaction	event	only sumo
single	nucleon	chemical-element	only sumo
single	nucleon	fermion	only wordnet
single	nucleon	hadron	only wordnet
single	nucleon	material	only sumo
single	nucleon	natural-object	only wordnet
single	nucleon	particle	only wordnet
single	nucleon	physical-object	only wordnet
single	nucleon	substance	only sumo
single	nucleosynthesis	combination	only sumo
